coverage_name_raw
1. 일반상해사망(기본)
101. 허혈성심장질환진단비
105. 부정맥질환(Ⅰ49)진단비
108. 심근병증진단비
109. 심장판막협착증(대동맥판막)진단비
152. 골절진단비Ⅱ(치아파절제외)
159. 화상진단비
161. 질병수술비
2. 일반상해후유장해(20~100%)(기본)
202. 암수술비(유사암제외)
205. 유사암수술비
206. 다빈치로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한)(갱신형)
207. 다빈치로봇 갑상선암 및 전립선암수술비(최초1회한)(갱신형)
209. 뇌혈관질환수술비
213. 허혈성심장질환수술비
227. 상해수술비
256. 항암방사선치료비
257. 항암약물치료비
278. 표적항암약물허가치료비(3대특정암)(최초1회한)Ⅱ(갱신형)
279. 표적항암약물허가치료비(림프종·백혈병 관련암)(최초1회한)Ⅱ(갱신형)
280  표적항암약물허가치료비(3대특정암 및 림프종·백혈병 관련암 제외)(최초1회한) Ⅱ(갱신형)
283. 특정항암호르몬약물허가치료비(최초1회한)Ⅱ(갱신형)
291. 카티(CAR-T)항암약물허가치료비(연간1회한)(갱신형)
380. 혈전용해치료비Ⅱ(최초1회한)(특정심장질환) 보장
381. 혈전용해치료비Ⅱ(최초1회한)(뇌졸중) 보장
477. 질병입원일당(1일이상)
490. 상해입원일당(1일이상)Ⅱ
5. 일반상해후유장해(3%~100%)
"503. 암직접치료입원일당(요양제외,1일이상180일한도)"
70. 암진단비(유사암제외)
72. 10대고액치료비암진단비
74. 유사암진단비
8. 질병사망
85. 재진단암진단비
91. 뇌혈관질환진단비
93. 뇌졸중진단비
95. 뇌출혈진단비
97. 심장질환(특정Ⅰ) 진단비
98. 심장질환(특정Ⅱ) 진단비
다빈치로봇 갑상선암 및 전립선암수술비(
다빈치로봇 암수술비(갑상선암 및 전립선암 제외)(
최초1회
